NAME                                                              CPU(cores)   MEMORY(bytes)   
gi-es-record-set-updates-indexer-stage-deployment-5db965bb2bp2k   6m           245Mi           
di-es-transformer-test-deployment-5dd469f899-8l97m                6m           257Mi           
di-iiif-manifest-indexer-v2-prod-56fdc7459f-jc88b                 6m           206Mi           
dd-deleter-prod-58bb964bcc-qxgv8                                  5m           122Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974f6clvf   5m           98Mi            
swisscollections-solr-indexer-prod-cluster2-deployment-697cxfl7   5m           186Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974f5wqlq   5m           426Mi           
swisscollections-filter-prod-deployment-6476cb7f65-gvwjb          5m           432Mi           
dd-deleter-test-dcbddf4c9-tbwvv                                   5m           122Mi           
swisscollections-content2searchdocs-prod-deployment-5c8f54zfv8v   5m           333Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974f5ml4k   5m           483Mi           
swisscollections-content2searchdocs-prod-deployment-5c8f54dzphd   5m           225Mi           
di-edm-indexer-prod-deployment-58fd758789-gcpmp                   5m           247Mi           
swisscollections-browse-index-values-test-deployment-5b665btl7v   5m           166Mi           
dd-deleter-stage-859c48f4b8-vqwzb                                 5m           123Mi           
swisscollections-browse-index-values-prod-deployment-7bdc7vtxl2   5m           398Mi           
swisscollections-browse-index-values-prod-deployment-7bdc7vnwft   5m           442Mi           
swisscollections-solr-indexer-browsing-test-deployment-7ff4nbmm   5m           190Mi           
swisscollections-solr-indexer-browsing-prod-cluster2-deploqwtpb   4m           171Mi           
swisscollections-browse-index-values-prod-deployment-7bdc7qnd5k   4m           343Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974fsmxr8   4m           149Mi           
gi-es-institution-updates-indexer-prod-deployment-d7657cf6w6t9n   4m           173Mi           
swisscollections-browse-index-values-test-deployment-5b6656xjl4   4m           151Mi           
gi-es-record-sets-indexer-stage-deployment-77966b8b86-mwzw4       4m           242Mi           
swisscollections-solr-indexer-test-deployment-6b9bff777d-l98sj    4m           211Mi           
di-reports-indexer-stage-deployment-6b4cdfd574-6lzww              4m           472Mi           
oai-deployment-55c7c8766f-dkzj6                                   4m           364Mi           
swisscollections-solr-indexer-browsing-prod-cluster1-deplohsdbz   4m           425Mi           
