NAME                                                              CPU(cores)   MEMORY(bytes)   
gi-es-record-set-updates-indexer-test-deployment-757d4dbf72tjk6   11m          174Mi           
gi-es-institutions-indexer-stage-deployment-cdf5c8884-j5blk       7m           173Mi           
gi-es-institution-updates-indexer-prod-deployment-d7657cf6w6t9n   4m           173Mi           
swisscollections-solr-indexer-browsing-prod-cluster2-deploqwtpb   4m           171Mi           
di-es-indexer-test-deployment-7585d8b6dc-jdn5v                    11m          170Mi           
di-media-metadata-preprocessor-prod-58c884bfdf-9ncfg              13m          166Mi           
gi-es-institutions-indexer-test-deployment-77449d484-plsh4        11m          166Mi           
swisscollections-browse-index-values-test-deployment-5b665btl7v   5m           166Mi           
gi-drupal-syncer-test-deployment-7d74774d54-pl774                 9m           158Mi           
swisscollections-browse-index-values-test-deployment-5b665pmstk   5m           158Mi           
di-connector-test-deployment-c77c6f84f-565nh                      8m           157Mi           
gi-drupal-syncer-stage-deployment-c4cff5d97-2r88x                 11m          156Mi           
gi-connector-stage-deployment-7b7f96d66c-r6dbm                    10m          154Mi           
di-iiif-manifest-creator-stage-868cd98478-48mpf                   7m           153Mi           
swisscollections-browse-index-values-test-deployment-5b6656xjl4   5m           151Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974fsmxr8   4m           149Mi           
swisscollections-vufind-prod-deployment-cb56d8d7b-hwzwt           94m          146Mi           
di-image-enricher-test-594784d776-wnv6r                           7m           141Mi           
di-av-enricher-test-64d949cdb4-n7cbl                              6m           140Mi           
di-av-enricher-stage-5db78f64c9-9sr9x                             8m           140Mi           
swisscollections-vufind-prod-deployment-cb56d8d7b-p5fv2           51m          140Mi           
di-media-metadata-preprocessor-stage-54b8575588-krwlb             10m          136Mi           
di-media-converter-test-6444db9c85-flk6m                          7m           136Mi           
di-iiif-manifest-indexer-v2-stage-5988f45466-ttssj                9m           129Mi           
swisscollections-vufind-prod-deployment-cb56d8d7b-ktqvp           1m           128Mi           
kafkamagic-679b6c895f-gh2xg                                       1m           127Mi           
api-import-test-757dc9d5d5-msnkt                                  29m          127Mi           
api-import-stage-576d554477-96mtq                                 40m          124Mi           
di-iiif-manifest-creator-test-5c8c45c788-n9b7s                    7m           123Mi           
dd-deleter-stage-859c48f4b8-vqwzb                                 5m           123Mi           
dd-deleter-prod-58bb964bcc-qxgv8                                  5m           122Mi           
dd-deleter-test-dcbddf4c9-tbwvv                                   6m           122Mi           
autodeploy-service-deployment-7b5d98bb4f-v9prv                    30m          122Mi           
sm-media-url-updater-test-6b96595564-sv5ld                        24m          118Mi           
sm-media-url-updater-stage-c9d547bbd-8b94b                        36m          116Mi           
sm-media-url-updater-prod-7b6db95759-twwcn                        37m          115Mi           
di-media-metadata-preprocessor-test-84757f55d-6d59k               7m           108Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974f6clvf   5m           98Mi            
swissbib-vufind-dsvforever-deployment-55f496cfb9-mqxgq            1m           97Mi            
swisscollections-vufind-staging-deployment-55dc9ccd46-glrcr       1m           95Mi            
swisscollections-vufind-test-deployment-7c9f457644-rlwh6          1m           94Mi            
swisscollections-vufind-staging-deployment-55dc9ccd46-vb5k4       1m           93Mi            
swisscollections-vufind-staging-deployment-55dc9ccd46-hgbng       1m           73Mi            
di-media-metadata-indexer-stage-69f7659f94-25x4x                  29m          59Mi            
di-media-metadata-indexer-prod-6f49d748d-gnpd6                    19m          58Mi            
di-media-metadata-indexer-test-789df6799c-298cj                   26m          57Mi            
swissbib-switch-off-prod-deployment-5bdbd8d8cd-5lj8l              0m           9Mi             
api-media-server-stage-67d9ffc878-g8gf8                           0m           4Mi             
api-media-server-test-59d9878cfb-pkvtm                            1m           3Mi             
cm-acme-http-solver-hdtm7                                         1m           3Mi             
cm-acme-http-solver-nn5m8                                         1m           3Mi             
pp-rico2edmtransfromer-7d9649d58d-957wp                           0m           0Mi             
